smiles,affinity_nM,pAff,affinity_type,uniprot_id,target_name,organism,ligand_name,ligand_id,pmid,scaffold
CCCCO[C@H]1CCC[C@@H]2[C@H]3N(C(=O)\C3=C\C)C(C([O-])=O)=C12,32.0,7.494850021680094,IC50,P62593,Beta-lactamase TEM,,"CHEMBL230332::sodium (5S,8aS,8bR)-5-butoxy-1-eth-(E)-ylidene-2-oxo-1,2,5,6,7,8,8a,8b-octahydro-azeto[2,1-a]isoindole-4-carboxylate",50218939,17665896.0,C=C1C(=O)N2C=C3CCCCC3C12
CC1=C[C@@H]2CN([C@@H]1C(=O)NCNS(N)(=O)=O)C(=O)N2O[C@@H](F)C(O)=O,33.0,7.481486060122113,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-3-methyl-7-oxo-2-[(sulfamoylamino)-methylcarbamoyl]-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 89",466999,,O=C1NC2C=CCN1C2
CC1=C[C@@H](C#N)N2C[C@@H]1N(O[C@H](F)C(O)=O)C2=O,35.0,7.455931955649724,IC50,P62593,Beta-lactamase TEM,,"(2R)-2-(((2S,5R)-2-cyano-4-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)-2-fluoroacetic acid lithium salt::US10800778, Example 95",467002,,O=C1NC2C=CCN1C2
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CCO[C@@H]3CN)=C(N2C1=O)C(O)=O,35.0,7.455931955649724,IC50,P62593,Beta-lactamase TEM,,CHEMBL1206880::CL-191121,50403733,10230626.0,O=C1CC2CC(SC3CCOC3)=CN12
C[C@@]1(CSc2nc3ccccc3s2)S[C@@H]2[C@H](Br)C(=O)N2[C@H]1C(O)=O,35.9,7.444905551421681,IC50,P62593,Beta-lactamase TEM,,CHEMBL308516,50212643,,O=C1CC2SC(CSc3nc4ccccc4s3)CN12
COC(=O)\C=C1/[C@@H]2N(C1=O)C(C([O-])=O)=C(COC(C)=O)CS2(=O)=O,37.0,7.431798275933005,IC50,P62593,Beta-lactamase TEM,,"CHEMBL36657::Sodium; (R)-3-acetoxymethyl-7-[1-methoxycarbonyl-meth-(Z)-ylidene]-5,5,8-trioxo-5lambda*6*-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylate",50284786,,C=C1C(=O)N2C=CCS(=O)(=O)C12
OB(O)c1cc2cc(CNc3cccc(c3)[N+]([O-])=O)ccc2s1,37.0,7.431798275933005,Ki,P62593,Beta-lactamase TEM,,CHEMBL235292::pinacol 5-[(3-nitrophenylamino)methyl]benzo[b]thiophen-2-ylboronate,50225379,17956081.0,c1ccc(NCc2ccc3sccc3c2)cc1
OB(O)c1cc2cc(CN(C=O)C=O)ccc2s1,37.0,7.431798275933005,Ki,P62593,Beta-lactamase TEM,,CHEMBL235073::pinacol 5-diformylaminomethylbenzo[b]thiophen-2-ylboronate::{5-[(DIFORMYLAMINO)METHYL]-1-BENZOTHIEN-2-YL}BORONIC ACID,50225378,17956081.0,c1ccc2sccc2c1
C\C=C1/[C@H]2[C@H]3CCC[C@H](OC(C)C)C3=C(N2C1=O)C([O-])=O,39.0,7.4089353929735005,IC50,P62593,Beta-lactamase TEM,,"CHEMBL396753::sodium (8S,9R)-10(E)-ethylidene-4(S)-isopropoxy-11-oxo-1-azatricyclo[7.2.0.03,8]undec-2-enecarboxylate",50218938,17665896.0,C=C1C(=O)N2C=C3CCCCC3C12
OB(O)c1sc2ccccc2c1\C=C\C(O)=O,40.0,7.3979400086720375,Ki,P62593,Beta-lactamase TEM,,CHEMBL3286879,50516761,31288128.0,c1ccc2sccc2c1
C[C@@]1(CSC2=NCCS2)S[C@@H]2[C@H](Br)C(=O)N2[C@H]1C(O)=O,40.3,7.394694953858891,IC50,P62593,Beta-lactamase TEM,,CHEMBL310221,50212636,,O=C1CC2SC(CSC3=NCCS3)CN12
OB(O)c1cc2cc(O)ccc2s1,43.0,7.366531544420414,Ki,P62593,Beta-lactamase TEM,,5-hydroxymethylbenzo[b]thiophen-2-ylboronic acid::CHEMBL395398,50225392,17956081.0,c1ccc2sccc2c1
CC(C)(C)C(=O)OCOC(=O)C1N2[C@@H](CC2=O)OC1=C(CC=Cc1ccccc1)C(O)=O,44.2,7.354577730650908,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 37",178204,,O=C1CC2OC(=CCC=Cc3ccccc3)CN12
OB(O)c1cc2cc(CNc3cccc(c3)B(O)O)ccc2s1,45.0,7.346787486224656,Ki,P62593,Beta-lactamase TEM,,CHEMBL235308::pinacol 5-[(phenylamino3-boronicacid)methyl]benzo[b]thiophen-2-ylboronate,50225380,17956081.0,c1ccc(NCc2ccc3sccc3c2)cc1
CC(=O)NNC(=O)[C@H]1N2C[C@@H](C=C1C)N(OC(F)C(O)=O)C2=O,47.0,7.327902142064283,IC50,P62593,Beta-lactamase TEM,,"2-(((2S,5R)-2-(2-acetylhydrazinecarbonyl)-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)-2-fluoroacetic acid lithium salt::US10800778, Example 27",466970,,O=C1NC2C=CCN1C2
COC(=O)c1cn(C[C@@]2(C)[C@@H](C3C(CC3=O)S2(=O)=O)C([O-])=O)nn1,49.0,7.309803919971486,IC50,P62593,Beta-lactamase TEM,,"CHEMBL33711::Sodium; 3-(4-methoxycarbonyl-[1,2,3]triazol-1-ylmethyl)-3-methyl-2,2,6-trioxo-2lambda*6*-thia-bicyclo[3.2.0]heptane-4-carboxylate",50021963,3039137.0,O=C1CC2C1CC(Cn1ccnn1)S2(=O)=O
CC(=O)NNC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(O)(=O)=O,52.0,7.2839966563652006,IC50,P62593,Beta-lactamase TEM,,"US10544146, Ex. 40",428643,,O=C1NC2CCCN1C2
CCOC(=O)c1cn(C[C@@]2(C)[C@@H](C3C(CC3=O)S2(=O)=O)C([O-])=O)nn1,54.0,7.267606240177032,IC50,P62593,Beta-lactamase TEM,,"CHEMBL33950::Sodium; 3-(4-ethoxycarbonyl-[1,2,3]triazol-1-ylmethyl)-3-methyl-2,2,6-trioxo-2lambda*6*-thia-bicyclo[3.2.0]heptane-4-carboxylate",50021958,3039137.0,O=C1CC2C1CC(Cn1ccnn1)S2(=O)=O
CC(=O)NCNC(=O)[C@H]1N2C[C@@H](C=C1C)N(O[C@@H](F)C(O)=O)C2=O,54.0,7.267606240177032,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-2-(acetamidomethylcarbamoyl)-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 88",466998,,O=C1NC2C=CCN1C2
CO[C@H]1CCC[C@@H]2[C@H]3N(C(=O)\C3=C\C)C(C([O-])=O)=C12,55.0,7.259637310505756,IC50,P62593,Beta-lactamase TEM,,"CHEMBL396509::sodium (8S,9R)-10(E)-ethylidene-4(S)-methoxy-11-oxo-1-azatricyclo[7.2.0.03,8]undec -2-enecarboxylate",50218935,17665896.0,C=C1C(=O)N2C=C3CCCCC3C12
CC1=C[C@@H]2CN([C@@H]1C(=O)NCCS(N)(=O)=O)C(=O)N2O[C@@H](F)C(O)=O,57.0,7.2441251443275085,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-3-methyl-7-oxo-2-(2-sulfamoylethylcarbamoyl)-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 57",466979,,O=C1NC2C=CCN1C2
CCO[C@H]1CCC[C@@H]2[C@H]3N(C(=O)\C3=C\C)C(C([O-])=O)=C12,57.0,7.2441251443275085,IC50,P62593,Beta-lactamase TEM,,"CHEMBL230226::sodium (8S,9R)-10(E)-ethylidene-4(S)-ethoxy-11-oxo-1-azatricyclo[7.2.0.03,8]undec-2 -enecarboxylate",50218937,17665896.0,C=C1C(=O)N2C=C3CCCCC3C12
OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C([O-])=O,60.0,7.221848749616356,IC50,P62593,Beta-lactamase TEM,,"CHEMBL8290::Sodium; (2R,5R)-3-[2-hydroxy-eth-(Z)-ylidene]-7-oxo-4-oxa-1-aza-bicyclo[3.2.0]heptane-2-carboxylate",50033685,7699694.0,C=C1CN2C(=O)CC2O1
C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(=O)O[Na],60.0,7.221848749616356,IC50,P62593,Beta-lactamase TEM,,"CHEMBL1439::CL-307579::Sodium; (2S,3S,5R)-3-methyl-4,4,7-trioxo-3-[1,2,3]triazol-1-ylmethyl-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate::TAZOBACTAM SODIUM::US9035062, TAZ::sodium (2S,3S,5R)-3-methyl-4,4,7-trioxo-3-[1,2,3]triazol-1-ylmethyl-4lambda6-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate::tazobactum",50157692,10230626.0;10230627.0;14980686.0;15588091.0;7699694.0,O=C1CC2N1CC(Cn1ccnn1)S2(=O)=O
CC1=C[C@@H]2CN([C@@H]1C(=O)NCCNS(C)(=O)=O)C(=O)N2O[C@@H](F)C(O)=O,64.0,7.1938200260161125,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-2-[2-(methanesulfonamido)ethylcarbamoyl]-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 67",466983,,O=C1NC2C=CCN1C2
CO\N=C\[C@@]1(C)[C@@H](N2[C@@H]([C@H](CO)C2=O)S1(=O)=O)C([O-])=O,64.0,7.1938200260161125,IC50,P62593,Beta-lactamase TEM,,"CHEMBL6678::Sodium; (2S,3S,5R,6R)-6-hydroxymethyl-3-(methoxyimino-methyl)-3-methyl-4,4,7-trioxo-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate",50076682,10230627.0,O=C1CC2N1CCS2(=O)=O
COC(=O)C1N2[C@@H](CC2=O)OC1=C(CC=C)C=O,65.2,7.18575240426808,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 16",178196,,C=C1CN2C(=O)CC2O1
C[C@]1(CSc2nc3ccccc3[nH]2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,65.5,7.183758700008217,IC50,P62593,Beta-lactamase TEM,,CHEMBL72972,50212646,,O=C1CC2N1CC(CSc1nc3ccccc3[nH]1)S2(=O)=O
C=CCC(C=O)=C1O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,66.6,7.176525770829699,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 1",178182,,C=C1OC2CC(=O)N2C1C(=O)OCc1ccccc1
CC1(C)[C@@H](N2[C@@H]([C@H](CO)C2=O)S1(=O)=O)C(O)=O,329.0,7.1419983281826,IC50,P62593,Beta-lactamase TEM,,"(2S,5R,6R)-6-Hydroxymethyl-3,3-dimethyl-4,4,7-trioxo-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylic acid::(2S,5R,6R)-6-Hydroxymethyl-3,3-dimethyl-4,4,7-trioxo-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylic acid anion::CHEMBL416561",50076678,10230626.0;14980686.0,O=C1CC2N1CCS2(=O)=O
Cn1cnnc1SC[C@@]1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,72.2,7.141462802430361,IC50,P62593,Beta-lactamase TEM,,CHEMBL423309,50212640,,O=C1CC2N1CC(CSc1nnc[nH]1)S2(=O)=O
COC(=O)C1N2[C@@H](CC2=O)OC1=C(CCCc1ccccc1)C(O)=O,72.8,7.137868620686963,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 53",178210,,O=C1CC2OC(=CCCCc3ccccc3)CN12
C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,75.0,7.1338031200885155,IC50,P62593,Beta-lactamase TEM,,"(2S,3S,5R)-3-Methyl-4,4,7-trioxo-3-[1,2,3]triazol-1-ylmethyl-4-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylic acid::(2S,3S,5R)-3-Methyl-4,4,7-trioxo-3-[1,2,3]triazol-1-ylmethyl-4lambda 6-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylic acid::(2S,3S,5R)-3-methyl-4,4,7-trioxo-3-[1,2,3]triazol-1-ylmethyl-4lambda6-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylic acid::(2S,3S,5R)-3-methyl-7-oxo-3-(1H-1,2,3-triazol-1-ylmethyl)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid 4,4-dioxide::3-Methyl-4,4,7-trioxo-3-[1,2,3]triazol-1-ylmethyl-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylic acid::CHEMBL404::CL-298741::TAZOBACTAM::US9120808, Tazobactam sodium salt::US9676777, TAZ::YTR-830H::Zosyn",50053173,11327608.0;15214794.0;16854068.0;17353248.0;17665896.0;17709463.0;31269398.0,O=C1CC2N1CC(Cn1ccnn1)S2(=O)=O
C[C@]1(\C=C\C#N)[C@@H](N2[C@@H]([C@H](CO)C2=O)S1(=O)=O)C([O-])=O,74.0,7.130768280269024,IC50,P62593,Beta-lactamase TEM,,"CHEMBL269471::Sodium; (2S,3S,5R,6R)-3-((E)-2-cyano-vinyl)-6-hydroxymethyl-3-methyl-4,4,7-trioxo-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate",50076679,10230627.0,O=C1CC2N1CCS2(=O)=O
CC1=C[C@@H]2CN([C@@H]1C(=O)NOC[C@@H]1CCC(=O)N1)C(=O)N2O[C@@H](F)C(O)=O,77.0,7.113509274827519,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-3-methyl-7-oxo-2-[(5-oxopyrrolidin-2-yl)methoxycarbamoyl]-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 72",466988,,O=C1CCC(CONC(=O)C2C=CC3CN2C(=O)N3)N1
OCC=CCC(C=O)=C1O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,78.4,7.105683937315561,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 7",178188,,C=C1OC2CC(=O)N2C1C(=O)OCc1ccccc1
OB(O)c1cc2cc(CSc3ccccc3)ccc2s1,80.0,7.096910013008056,Ki,P62593,Beta-lactamase TEM,,CHEMBL236203::pinacol 5-phenylsulphanylmethylbenzo[b]thiophen-2-ylboronate,50225383,17956081.0,c1ccc(SCc2ccc3sccc3c2)cc1
CC1=C[C@@H]2CN([C@@H]1C(=O)NCc1cnccn1)C(=O)N2OC(F)C(O)=O,81.0,7.0915149811213505,IC50,P62593,Beta-lactamase TEM,,"2-fluoro-2-(((2S,5R)-3-methyl-7-oxo-2-((pyrazin-2-ylmethyl)carbamoyl)-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)acetic acid lithium salt::US10800778, Example 30",466971,,O=C(NCc1cnccn1)C1C=CC2CN1C(=O)N2
OB(O)c1cc2cc(Cn3ccnc3)ccc2s1,82.0,7.086186147616283,Ki,P62593,Beta-lactamase TEM,,5-imidazol-1-yl-methylbenzo[b]thiophen-2-ylboronic acid::CHEMBL395186,50225389,17956081.0,c1cn(Cc2ccc3sccc3c2)cn1
CC1=C[C@@H]2CN([C@@H]1C(=O)NCCNS(N)(=O)=O)C(=O)N2O[C@@H](F)C(O)=O,83.0,7.080921907623926,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-3-methyl-7-oxo-2-[2-(sulfamoylamino)ethyl-carbamoyl]-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 75",466991,,O=C1NC2C=CCN1C2
OB(O)c1cc2cc(COc3ccc(Cl)c(Cl)c3)ccc2s1,83.0,7.080921907623926,Ki,P62593,Beta-lactamase TEM,,"CHEMBL237390::pinacol 5-(3,4-dichlorophenoxymethyl)benzo[b]thiophen-2-ylboronate",50225377,17956081.0,c1ccc(OCc2ccc3sccc3c2)cc1
CC1=C[C@@H]2CN([C@@H]1C(=O)NCC#N)C(=O)N2O[C@@H](F)C(O)=O,85.0,7.070581074285707,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-2-(cyanomethylcarbamoyl)-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 82",466996,,O=C1NC2C=CCN1C2
O=CC(CC=Cc1ccccc1)=C1O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,89.0,7.050609993355088,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 4",178185,,O=C(OCc1ccccc1)C1C(=CCC=Cc2ccccc2)OC2CC(=O)N21
CC(C)[C@H](NC[C@H]1OCC[C@H]1SC1=C(N2C([C@@H]([C@@H](C)O)C2=O)[C@H]1C)C(O)=O)C(O)=O,91.0,7.040958607678906,IC50,P62593,Beta-lactamase TEM,,"(4R,6S)-3-{(2R,3R)-2-[((S)-1-Carboxy-2-methyl-propylamino)-methyl]-tetrahydro-furan-3-ylsulfanyl}-6-((R)-1-hydroxy-ethyl)-4-methyl-7-oxo-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylic acid::CHEMBL366664",50076671,10230626.0,O=C1CC2CC(SC3CCOC3)=CN12
CC1=C[C@@H]2CN([C@@H]1C(=O)NOCCS(N)(=O)=O)C(=O)N2O[C@@H](F)C(O)=O,93.0,7.031517051446065,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-3-methyl-7-oxo-2-(2-sulfamoylethoxycarbamoyl)-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 56",466978,,O=C1NC2C=CCN1C2
CCCC(C(O)=O)=C1O[C@@H]2CC(=O)N2C1C(=O)OC,97.0,7.013228265733755,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 54",178211,,C=C1CN2C(=O)CC2O1
Cn1nnnc1SC[C@]1(C)S[C@@H]2[C@H](Br)C(=O)N2[C@H]1C(O)=O,101.0,6.995678626217358,IC50,P62593,Beta-lactamase TEM,,CHEMBL415266,50212635,,O=C1CC2SC(CSc3nnn[nH]3)CN12
OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O,112.5,6.96777100538654,IC50,P62593,Beta-lactamase TEM,,"CHEMBL777::MM 14151::US9120808, Clavulanic acid potassium salt::antibiotic MM 14151::clavulanic acid",50021959,11959006.0;17353248.0;17665896.0;17709463.0;3039137.0;3257523.0;8064298.0,C=C1CN2C(=O)CC2O1
CC(=O)N[C@@H](Cc1cccc(c1)C(O)=O)B(O)O,110.0,6.958607314841775,Ki,P62593,Beta-lactamase TEM,,CHEMBL1231367,50526862,31663735.0,c1ccccc1
CC1=C[C@@H]2CN([C@@H]1C(=O)NOC[C@@H]1CC(F)(F)CN1)C(=O)N2O[C@@H](F)C(O)=O,110.0,6.958607314841775,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-(((2S,5R)-2-((((S)-4,4-difluoropyrrolidin-2-yl)methoxy)carbamoyl)-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)-2-fluoroacetic acid TFA salt::US10800778, Example 63",466981,,O=C(NOCC1CCCN1)C1C=CC2CN1C(=O)N2
CC1=C[C@@H]2CN([C@@H]1C(=O)NCCC(N)=O)C(=O)N2O[C@@H](F)C(O)=O,110.0,6.958607314841775,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-[[(2S,5R)-2-[(3-amino-3-oxo-propyl)carbamoyl]-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]-2-fluoro-acetic acid lithium salt::US10800778, Example 71",466987,,O=C1NC2C=CCN1C2
CC1(C)[C@@H](N2[C@@H](\C(=C/C([O-])=O)C2=O)S1(=O)=O)C([O-])=O,120.0,6.920818753952375,IC50,P62593,Beta-lactamase TEM,,"(2S,5R,6Z)-6-(carboxymethylene)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid 4,4-dioxide;sodium salt::CHEMBL287095",50284789,,C=C1C(=O)N2CCS(=O)(=O)C12
COC(=O)C1N2[C@@H](CC2=O)OC1=C(CC=C)C(O)=O,121.5,6.915423722065669,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 32",178202,,C=C1CN2C(=O)CC2O1
COC1=C(N2C([C@@H]([C@@H](C)O)C2=O)[C@H]1C)C([O-])=O,130.0,6.886056647693163,IC50,P62593,Beta-lactamase TEM,,"CHEMBL283629::Potassium; (4R,5R,6S)-6-((R)-1-hydroxy-ethyl)-3-methoxy-4-methyl-7-oxo-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50089776,10890171.0,O=C1CC2CC=CN12
CC(C)(C)OC(=O)\C=C1/[C@@H]2N([C@@H](C([O-])=O)C(C)(C)S2(=O)=O)C1=O,136.0,6.866461091629782,IC50,P62593,Beta-lactamase TEM,,"CHEMBL284539::Sodium; (2S,5R)-6-[1-tert-butoxycarbonyl-meth-(Z)-ylidene]-3,3-dimethyl-4,4,7-trioxo-4lambda*6*-thia-1-aza-bicyclo[3.2.0]heptane-2-carboxylate",50284793,,C=C1C(=O)N2CCS(=O)(=O)C12
CC(=O)OCC=CCC(C=O)=C1O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,139.9,6.854182285508172,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 10",178191,,C=C1OC2CC(=O)N2C1C(=O)OCc1ccccc1
CC1=C[C@@H]2CN([C@@H]1C(=O)NCO)C(=O)N2O[C@@H](F)C(O)=O,150.0,6.823908740944319,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-2-(hydroxymethylcarbamoyl)-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 87",466997,,O=C1NC2C=CCN1C2
CC1=C[C@H](N2C[C@@H]1N(OCC(O)=O)C2=O)C(N)=O,150.0,6.823908740944319,IC50,P62593,Beta-lactamase TEM,,"2-(((2S,5R)-2-carbamoyl-4-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)acetic acid lithium salt::US10800778, Example 93",467001,,O=C1NC2C=CCN1C2
Nn1cn[n+](Cc2ccc3sc(cc3c2)B(O)O)c1,170.0,6.769551078621726,Ki,P62593,Beta-lactamase TEM,,"5 [(1,2,4-triazol-1-ylmethyl]benzo[b]thiophen-2-ylboronic acid::CHEMBL235951",50225374,17956081.0,c1n[n+](Cc2ccc3sccc3c2)c[nH]1
CC1=C[C@@H]2CN([C@@H]1C(=O)NCc1cnccn1)C(=O)N2O[C@@H](F)C(O)=O,180.0,6.7447274948966935,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-3-methyl-7-oxo-2-(pyrazin-2-ylmethyl-carbamoyl)-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 69",466985,,O=C(NCc1cnccn1)C1C=CC2CN1C(=O)N2
CC1=C[C@@H]2CN([C@@H]1C(=O)NOC[C@@H]1CCCN1)C(=O)N2O[C@@H](F)C(O)=O,210.0,6.6777807052660805,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-3-methyl-7-oxo-2-[[(2S)-pyrrolidin-2-yl]methoxycarbamoyl]-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid TFA salt::US10800778, Example 62",466980,,O=C(NOCC1CCCN1)C1C=CC2CN1C(=O)N2
CC1=C[C@@H]2CN([C@@H]1C(N)=O)C(=O)N2OC(C)(F)C(O)=O,230.0,6.638272163982407,IC50,P62593,Beta-lactamase TEM,,"2-{[(2S,5R)-2-carbamoyl-3-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy}-2-fluoropropanoic acid lithium salt (mixture of diastereomers)::US10800778, Example 11",466969,,O=C1NC2C=CCN1C2
COC1=C(N2C([C@@H]([C@@H](C)O)C2=O)[C@@H]1C)C([O-])=O,230.0,6.638272163982407,IC50,P62593,Beta-lactamase TEM,,"CHEMBL287670::Potassium; (4S,5R,6S)-6-((R)-1-hydroxy-ethyl)-3-methoxy-4-methyl-7-oxo-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50089775,10890171.0,O=C1CC2CC=CN12
CC(=O)c1ccc(NCc2ccc3sc(cc3c2)B(O)O)cc1,250.0,6.6020599913279625,Ki,P62593,Beta-lactamase TEM,,CHEMBL235523::pinacol 5-[(4-acetylphenylamino)methyl]benzo[b]thiophen-2-ylboronate,50225390,17956081.0,c1ccc(NCc2ccc3sccc3c2)cc1
OB(O)c1cc2cc(COc3ccccc3)ccc2s1,250.0,6.6020599913279625,Ki,P62593,Beta-lactamase TEM,,CHEMBL396871::pinacol 5-phenoxymethylbenzo[b]thiophen-2-ylboronate,50225386,17956081.0,c1ccc(OCc2ccc3sccc3c2)cc1
COc1ccc(NCc2ccc3sc(cc3c2)B(O)O)cc1OC,250.0,6.6020599913279625,Ki,P62593,Beta-lactamase TEM,,"CHEMBL396889::pinacol 5-[(3,4-dimethoxyphenylamino)methyl]benzo[b]thiophen-2-ylboronate",50225387,17956081.0,c1ccc(NCc2ccc3sccc3c2)cc1
CCCC(C(O)=O)=C1O[C@@H]2CC(=O)N2C1C(O)=O,254.0,6.595166283380062,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 51",178209,,C=C1CN2C(=O)CC2O1
Nc1ccc2sc(cc2c1)B(O)O,260.0,6.585026652029182,Ki,P62593,Beta-lactamase TEM,,CHEMBL396390::pinacol 5-aminomethylbenzo[b]thiophen-2-ylboronate,50225375,17956081.0,c1ccc2sccc2c1
CC1=C[C@@H]2CN([C@@H]1C(=O)NCCCS(N)(=O)=O)C(=O)N2O[C@@H](F)C(O)=O,280.0,6.552841968657781,IC50,P62593,Beta-lactamase TEM,,"(2S)-2-fluoro-2-[[(2S,5R)-3-methyl-7-oxo-2-(3-sulfamoylpropylcarbamoyl)-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl]oxy]acetic acid lithium salt::US10800778, Example 74",466990,,O=C1NC2C=CCN1C2
Cn1ccnc1SC[C@@]1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,289.0,6.539102157243452,IC50,P62593,Beta-lactamase TEM,,CHEMBL302241,50212639,,O=C1CC2N1CC(CSc1ncc[nH]1)S2(=O)=O
COC(=O)c1nnn(C[C@@]2(C)[C@@H](C3C(CC3=O)S2(=O)=O)C([O-])=O)c1C(=O)OC,300.0,6.522878745280337,IC50,P62593,Beta-lactamase TEM,,"CHEMBL284273::Sodium; 3-(4,5-bis-methoxycarbonyl-[1,2,3]triazol-1-ylmethyl)-3-methyl-2,2,6-trioxo-2lambda*6*-thia-bicyclo[3.2.0]heptane-4-carboxylate",50021957,3039137.0,O=C1CC2C1CC(Cn1ccnn1)S2(=O)=O
